log_path,model,seq_len,d_block,d_ffn,train,forward,backward,validate,min_loss,test_loss,peak_memory/MB
05-18-3,LocalHBA,256,8,256,2564.726936,1.329966313,2.629608928,0.367647878,0.15659551,3.103671114,145.1425781
,,,,,,,,,,,
05-18-3,LocalHBA,512,8,64,646.2788252,2.02941962,3.470555129,0.576094072,0.207647211,3.376244451,152.1337891
,,,,,,,,,,,
05-18-3,LocalHBA,512,8,128,1286.767989,2.205925146,3.785026681,0.609467351,0.156011785,3.565702204,192.0898438
,,,,,,,,,,,
05-18-3,LocalHBA,512,8,256,2567.823055,2.675811724,4.369444532,0.709779769,0.185145256,3.271370535,272.4863281
,,,,,,,,,,,
05-18-3,LocalHBA,1024,8,64,6411.831622,4.208503373,6.837451932,1.137173529,0.176847755,3.692368569,287.0712891
,,,,,,,,,,,
05-18-3,LocalHBA,1024,8,128,12812.78697,4.521498989,7.47416695,1.197717353,0.633495887,10.32208393,366.7773438
,,,,,,,,,,,
05-18-3,LocalHBA,1024,8,256,25614.79967,5.345952955,8.665317108,1.370403758,0.64328853,11.6945005,527.1738281
,,,,,,,,,,,
05-18-3,LocalHBA,2048,8,64,6421.265564,7.801035097,12.66823422,2.060255429,1.260733797,30.4846808,556.9462891
,,,,,,,,,,,
05-18-3,LocalHBA,2048,8,128,12822.97927,8.384981419,13.79469249,2.171561397,1.5632527,29.26887395,716.1523438
,,,,,,,,,,,
05-18-3,LocalHBA,2048,8,256,25626.85319,9.976763115,16.07486165,2.498267824,1.525526086,35.17020327,1036.548828
,,,,,,,,,,,
05-18-3,LocalHBA,4096,8,64,6435.846315,13.33535202,21.73389747,3.501229474,1.391033933,110.6427997,1096.946289
,,,,,,,,,,,
05-18-3,LocalHBA,4096,8,128,12838.78062,14.29479482,23.7073752,3.687785392,1.551107367,68.13803854,1415.152344
,,,,,,,,,,,
05-19-0,HBA,64,8,64,647.0340347,2.191325934,3.476780622,0.500702194,0.1307804,3.070781419,37.74560547
,,,,,,,,,,,
05-19-0,HBA,64,8,128,1286.964719,2.230922931,3.345466416,0.504554684,0.140805242,3.320420039,43.18310547
,,,,,,,,,,,
05-19-0,HBA,64,8,256,2566.589308,2.240112802,2.988335967,0.517063343,0.135769925,3.218784473,54.06982422
,,,,,,,,,,,
05-19-0,HBA,128,8,64,646.8365544,2.159368426,3.316684406,0.49284609,0.142216655,3.022961567,57.36669922
,,,,,,,,,,,
05-19-0,HBA,128,8,128,1286.674136,2.185879962,3.14010855,0.507639427,0.140902952,2.98900015,67.86669922
,,,,,,,,,,,
05-19-0,HBA,128,8,256,2566.864271,2.181463878,3.34146125,0.505833963,0.138646373,3.01712179,88.87841797
,,,,,,,,,,,
05-19-0,HBA,256,8,64,646.9803758,2.173954673,3.459529766,0.507499056,0.149652766,3.235106034,98.31982422
,,,,,,,,,,,
05-19-0,HBA,256,8,128,1287.21532,2.17182666,3.697796907,0.510101465,0.140172579,3.267268802,118.9213867
,,,,,,,,,,,
05-19-0,HBA,256,8,256,2567.184603,2.155708612,3.694287065,0.503118203,0.14134874,3.144672224,160.2167969
,,,,,,,,,,,
05-19-0,HBA,512,8,64,648.7486525,2.497834349,4.906198141,0.718692247,0.191908489,4.034113297,191.2265625
,,,,,,,,,,,
05-19-0,HBA,512,8,128,1289.456077,2.685470231,5.430639039,0.757425363,0.140743187,3.212031065,230.9921875
,,,,,,,,,,,
05-19-0,HBA,512,8,256,25610.60574,3.21475138,6.047478474,0.867021684,0.185143428,4.122096669,310.5761719
,,,,,,,,,,,
05-19-0,HBA,1024,8,64,6416.435088,5.580372413,9.518092796,1.496377861,0.166421778,3.727943242,415.7421875
,,,,,,,,,,,
05-19-0,HBA,1024,8,128,12817.45301,5.935431413,10.18443623,1.565469514,0.199994216,4.180040847,494.8828125
,,,,,,,,,,,
05-19-0,HBA,1024,8,256,25619.79406,6.907339113,11.54655255,1.759038971,0.176645867,3.715542643,653.1762695
,,,,,,,,,,,
05-19-0,HBA,2048,8,64,6433.471219,11.59325169,20.561825,3.022540018,0.280282135,4.618560694,1017.773438
,,,,,,,,,,,
05-19-0,HBA,2048,8,128,12835.25644,12.15760123,21.7763718,3.138753709,0.244729366,5.308857266,1175.664063
,,,,,,,,,,,
05-19-0,HBA,2048,8,256,25639.56093,13.94865805,24.28252061,3.501316163,0.232359484,4.668105052,1491.45752
